bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,tags
20234,Wings-of-Fire-(Inspector-Ian-Rutledge--#2),Charles-Todd,3.99,0312965680,9780312965686,eng,323,5029,438,5/15/1999,St.-Martin's-Paperbacks,20234 wings-of-fire-(inspector-ian-rutledge--#2) charles-todd 3.99 0312965680 9780312965686 eng 323 5029 438 5/15/1999 st.-martin's-paperbacks
20235,A-Cold-Treachery-(Inspector-Ian-Rutledge--#7),Charles-Todd,4.15,0553586610,9780553586619,eng,416,2997,265,8/30/2005,Bantam,20235 a-cold-treachery-(inspector-ian-rutledge--#7) charles-todd 4.15 0553586610 9780553586619 eng 416 2997 265 8/30/2005 bantam
20236,The-Murder-Stone,Charles-Todd,3.83,0553586602,9780553586602,eng,416,1492,175,8/31/2004,Bantam,20236 the-murder-stone charles-todd 3.83 0553586602 9780553586602 eng 416 1492 175 8/31/2004 bantam
20237,Legacy-of-the-Dead-(Inspector-Ian-Rutledge--#4),Charles-Todd,4.15,0553583158,9780553583151,eng,356,4081,316,6/1/2001,Bantam-Books,20237 legacy-of-the-dead-(inspector-ian-rutledge--#4) charles-todd 4.15 0553583158 9780553583151 eng 356 4081 316 6/1/2001 bantam-books
20238,A-Fearsome-Doubt-(Inspector-Ian-Rutledge--#6),Charles-Todd,4.04,0553583174,9780553583175,eng,384,2815,258,7/29/2003,Bantam,20238 a-fearsome-doubt-(inspector-ian-rutledge--#6) charles-todd 4.04 0553583174 9780553583175 eng 384 2815 258 7/29/2003 bantam
20239,Watchers-of-Time-(Inspector-Ian-Rutledge--#5),Charles-Todd,3.99,0553583166,9780553583168,eng,421,3194,326,7/30/2002,Bantam,20239 watchers-of-time-(inspector-ian-rutledge--#5) charles-todd 3.99 0553583166 9780553583168 eng 421 3194 326 7/30/2002 bantam
20240,Search-the-Dark-(Inspector-Ian-Rutledge--#3),Charles-Todd,4.01,0312971281,9780312971281,eng,310,3896,324,5/15/2000,St.-Martin's-Press,20240 search-the-dark-(inspector-ian-rutledge--#3) charles-todd 4.01 0312971281 9780312971281 eng 310 3896 324 5/15/2000 st.-martin's-press
20241,Bill-Bryson's-African-Diary,Bill-Bryson,3.44,0385605145,9780385605144,eng,63,264,22,12/2/2002,Doubleday,20241 bill-bryson's-african-diary bill-bryson 3.44 0385605145 9780385605144 eng 63 264 22 12/2/2002 doubleday
20249,Hunters-of-Dune-(Dune-Chronicles--#7),Brian-Herbert/Kevin-J.-Anderson,3.65,0765312921,9780765312921,eng,524,10798,274,8/22/2006,Tor-Books,20249 hunters-of-dune-(dune-chronicles--#7) brian-herbert/kevin-j.-anderson 3.65 0765312921 9780765312921 eng 524 10798 274 8/22/2006 tor-books
20250,The-Battle-Of-Corrin-(Legends-of-Dune--#3),Brian-Herbert/Kevin-J.-Anderson,3.74,0340823372,9780340823378,eng,624,59,2,9/1/2004,Hodder-&-Stoughton-Ltd,20250 the-battle-of-corrin-(legends-of-dune--#3) brian-herbert/kevin-j.-anderson 3.74 0340823372 9780340823378 eng 624 59 2 9/1/2004 hodder-&-stoughton-ltd
20252,House-Corrino-(Prelude-to-Dune-#3),Brian-Herbert/Kevin-J.-Anderson,3.68,0553580337,9780553580334,eng,667,12257,167,8/27/2002,Spectra-Books,20252 house-corrino-(prelude-to-dune-#3) brian-herbert/kevin-j.-anderson 3.68 0553580337 9780553580334 eng 667 12257 167 8/27/2002 spectra-books
20253,House-Harkonnen-(Prelude-to-Dune-#2),Brian-Herbert/Kevin-J.-Anderson,3.67,0553580302,9780553580303,eng,733,13161,206,8/28/2001,Spectra-Books,20253 house-harkonnen-(prelude-to-dune-#2) brian-herbert/kevin-j.-anderson 3.67 0553580302 9780553580303 eng 733 13161 206 8/28/2001 spectra-books
20254,Doctor-Who:-The-Inside-Story,Gary-Russell,4.22,056348649X,9780563486497,eng,256,273,10,10/26/2006,BBC-Books,20254 doctor-who:-the-inside-story gary-russell 4.22 056348649x 9780563486497 eng 256 273 10 10/26/2006 bbc-books
20258,Doctor-Who-Short-Trips:-Repercussions,Gary-Russell/Peter-Anghelides/J.-Shaun-Lyon/Jon-de-Burgh-Miller/Eddie-Robson/Todd-Green/Andy-Russell/Andrew-Collins/Kathryn-Sullivan/Iain-McLaughlin/Mark-Michalowski/Joseph-Lidster/Trevor-Baxendale/Colin-Brake/Claire-Bartlett/Sarah-Groenewegen/Trey-Korte/Andy-Frankham-Allen,3.38,1844350487,9781844350483,eng,246,42,5,7/1/2004,Big-Finish,20258 doctor-who-short-trips:-repercussions gary-russell/peter-anghelides/j.-shaun-lyon/jon-de-burgh-miller/eddie-robson/todd-green/andy-russell/andrew-collins/kathryn-sullivan/iain-mclaughlin/mark-michalowski/joseph-lidster/trevor-baxendale/colin-brake/claire-bartlett/sarah-groenewegen/trey-korte/andy-frankham-allen 3.38 1844350487 9781844350483 eng 246 42 5 7/1/2004 big-finish
20264,Gerontius,James-Hamilton-Paterson,3.74,1862074933,9781862074934,eng,272,4,2,4/17/2002,Not-Avail,20264 gerontius james-hamilton-paterson 3.74 1862074933 9781862074934 eng 272 4 2 4/17/2002 not-avail
20287,Hellstrom's-Hive,Frank-Herbert,3.69,0553144383,9780553144383,eng,312,41,3,3/23/1982,Bantam-Books-(NY),20287 hellstrom's-hive frank-herbert 3.69 0553144383 9780553144383 eng 312 41 3 3/23/1982 bantam-books-(ny)
20315,The-Dark-City-(Eliot-Ness--#1),Max-Allan-Collins,3.88,0727862421,9780727862426,eng,233,49,5,8/1/2005,Severn-House-Publishers,20315 the-dark-city-(eliot-ness--#1) max-allan-collins 3.88 0727862421 9780727862426 eng 233 49 5 8/1/2005 severn-house-publishers
20316,Bullet-Proof-(Eliot-Ness--#3),Max-Allan-Collins,3.98,0727862987,9780727862983,eng,197,31,2,12/20/2005,Severn-House-Publishers,20316 bullet-proof-(eliot-ness--#3) max-allan-collins 3.98 0727862987 9780727862983 eng 197 31 2 12/20/2005 severn-house-publishers
